"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: GateState 2","Latest: Distance 2 (m)"
4.286528,,,1,0
4.296324,,,0,
4.30589,,,1,0.01
4.315859,,,0,
4.325472,,,1,0.02
4.335296,,,0,
4.344895,,,1,0.03
4.354734,,,0,
4.3644,,,1,0.04
4.374303,,,0,
4.383831,,,1,0.05
4.393745,,,0,
4.403349,,,1,0.06
4.413206,,,0,
4.422911,,,1,0.07
4.432776,,,0,
4.442388,,,1,0.08
4.452174,,,0,
4.461989,,,1,0.09
4.471802,,,0,
4.481459,,,1,0.1
4.491301,,,0,
4.500918,,,1,0.11
4.510755,,,0,
4.520559,,,1,0.12
4.530332,,,0,
6.645703,1,0,,
6.656373,0,,,
6.665241,1,0.01,,
6.676058,0,,,
6.684842,1,0.02,,
6.695623,0,,,
6.704448,1,0.03,,
6.715239,0,,,
6.724152,1,0.04,,
6.734939,0,,,
6.743733,1,0.05,,
6.754621,0,,,
6.76347,1,0.06,,
6.774225,0,,,
6.783146,1,0.07,,
6.793983,0,,,
6.802819,1,0.08,,
6.813608,0,,,
6.822637,1,0.09,,
6.833414,0,,,
6.842306,1,0.1,,
6.853139,0,,,
6.862089,1,0.11,,
6.872876,0,,,
6.881917,1,0.12,,
6.892771,0,,,
