"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: GateState 2","Latest: Distance 2 (m)"
0.860135,,,1,0
0.875877,,,0,
0.891367,,,1,0.01
0.907439,,,0,
0.922912,,,1,0.02
0.938809,,,0,
0.954245,,,1,0.03
0.970205,,,0,
0.98582,,,1,0.04
1.001756,,,0,
1.017149,,,1,0.05
1.033079,,,0,
1.048604,,,1,0.06
1.064522,,,0,
1.080095,,,1,0.07
1.096036,,,0,
1.111452,,,1,0.08
1.127221,,,0,
1.142999,,,1,0.09
1.158724,,,0,
1.174315,,,1,0.1
1.190084,,,0,
1.205588,,,1,0.11
1.221382,,,0,
1.237103,,,1,0.12
1.252876,,,0,
4.613661,1,0,,
4.630774,0,,,
4.644926,1,0.01,,
4.662313,0,,,
4.67637,1,0.02,,
4.693585,0,,,
4.707756,1,0.03,,
4.724989,0,,,
4.739301,1,0.04,,
4.756578,0,,,
4.770608,1,0.05,,
4.788082,0,,,
4.802208,1,0.06,,
4.819467,0,,,
4.833755,1,0.07,,
4.851074,0,,,
4.86527,1,0.08,,
4.882517,0,,,
4.897015,1,0.09,,
4.914263,0,,,
4.928479,1,0.1,,
4.945874,0,,,
4.960156,1,0.11,,
4.977468,0,,,
4.991921,1,0.12,,
5.009296,0,,,
