"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: GateState 2","Latest: Distance 2 (m)"
1.241447,,,1,0
1.252792,,,0,
1.263932,,,1,0.01
1.275519,,,0,
1.28669,,,1,0.02
1.298096,,,0,
1.309247,,,1,0.03
1.320702,,,0,
1.331874,,,1,0.04
1.343375,,,0,
1.354428,,,1,0.05
1.365934,,,0,
1.377046,,,1,0.06
1.388487,,,0,
1.399756,,,1,0.07
1.411187,,,0,
1.422306,,,1,0.08
1.433673,,,0,
1.445044,,,1,0.09
1.456394,,,0,
1.467551,,,1,0.1
1.478995,,,0,
1.490139,,,1,0.11
1.501497,,,0,
1.512851,,,1,0.12
1.52421,,,0,
4.625882,1,0,,
4.6432,0,,,
4.657513,1,0.01,,
4.675141,0,,,
4.689371,1,0.02,,
4.706825,0,,,
4.721123,1,0.03,,
4.738595,0,,,
4.753038,1,0.04,,
4.77051,0,,,
4.784733,1,0.05,,
4.802402,0,,,
4.816702,1,0.06,,
4.834173,0,,,
4.848558,1,0.07,,
4.86611,0,,,
4.880441,1,0.08,,
4.897919,0,,,
4.912576,1,0.09,,
4.930019,0,,,
4.944353,1,0.1,,
4.961938,0,,,
4.976364,1,0.11,,
4.993864,0,,,
5.008448,1,0.12,,
5.026043,0,,,
