"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: GateState 2","Latest: Distance 2 (m)"
1.012969,,,1,0
1.019829,,,0,
1.02656,,,1,0.01
1.033531,,,0,
1.040326,,,1,0.02
1.047294,,,0,
1.05403,,,1,0.03
1.061013,,,0,
1.067817,,,1,0.04
1.074842,,,0,
1.081599,,,1,0.05
1.088639,,,0,
1.095449,,,1,0.06
1.102431,,,0,
1.109326,,,1,0.07
1.116328,,,0,
1.123188,,,1,0.08
1.130204,,,0,
1.137232,,,1,0.09
1.144263,,,0,
1.151214,,,1,0.1
1.158302,,,0,
1.165243,,,1,0.11
1.172319,,,0,
1.179392,,,1,0.12
1.186485,,,0,
3.442824,1,0,,
3.455958,0,,,
3.466872,1,0.01,,
3.480283,0,,,
3.491151,1,0.02,,
3.504487,0,,,
3.51545,1,0.03,,
3.528858,0,,,
3.539948,1,0.04,,
3.553389,0,,,
3.564355,1,0.05,,
3.577948,0,,,
3.589014,1,0.06,,
3.602515,0,,,
3.613701,1,0.07,,
3.627311,0,,,
3.638442,1,0.08,,
3.652073,0,,,
3.663476,1,0.09,,
3.677117,0,,,
3.688366,1,0.1,,
3.702148,0,,,
3.713501,1,0.11,,
3.727233,0,,,
3.738743,1,0.12,,
3.752604,0,,,
