"Latest: Time (s)","Latest: GateState 1","Latest: Distance 1 (m)","Latest: GateState 2","Latest: Distance 2 (m)"
0.977673,,,1,0
0.98199,,,0,
0.986225,,,1,0.01
0.990605,,,0,
0.994832,,,1,0.02
0.999182,,,0,
1.003415,,,1,0.03
1.007792,,,0,
1.012045,,,1,0.04
1.016408,,,0,
1.020614,,,1,0.05
1.025001,,,0,
1.029255,,,1,0.06
1.033594,,,0,
1.037858,,,1,0.07
1.042229,,,0,
1.046485,,,1,0.08
1.050832,,,0,
1.055152,,,1,0.09
1.059476,,,0,
1.063751,,,1,0.1
1.068111,,,0,
1.07239,,,1,0.11
1.076724,,,0,
1.081052,,,1,0.12
1.085393,,,0,
2.347437,1,0,,
2.354758,0,,,
2.360815,1,0.01,,
2.368245,0,,,
2.37426,1,0.02,,
2.381635,0,,,
2.387693,1,0.03,,
2.395072,0,,,
2.401182,1,0.04,,
2.408563,0,,,
2.414596,1,0.05,,
2.422105,0,,,
2.428177,1,0.06,,
2.43554,0,,,
2.441607,1,0.07,,
2.449037,0,,,
2.455136,1,0.08,,
2.462558,0,,,
2.468743,1,0.09,,
2.476089,0,,,
2.482144,1,0.1,,
2.489603,0,,,
2.49573,1,0.11,,
2.503128,0,,,
2.509286,1,0.12,,
2.516731,0,,,
